,ID,hatzvara_quality,in_building_quality,staying,Identification,profession,number_of_buildings,geo_buildings,geo_buildings_new,geo_buildings_assessment_summary
0,TZ0,low,medium,1_to_3,סולומון,נגר,2,"['POLYGON ((34.7430912 32.0331599, 34.7431415 32.0331414, 34.7431563 32.0331704, 34.7432407 32.0331394, 34.7432687 32.0331941, 34.743134 32.0332436, 34.7430912 32.0331599))', 'POLYGON ((34.7433022 32.0338233, 34.7433558 32.033937, 34.7432217 32.0339825, 34.743168 32.0338688, 34.7433022 32.0338233))']","[['POLYGON ((34.7430912 32.0331599, 34.7431415 32.0331414, 34.7431563 32.0331704, 34.7432407 32.0331394, 34.7432687 32.0331941, 34.743134 32.0332436, 34.7430912 32.0331599))', 'unknown'], ['POLYGON ((34.7433022 32.0338233, 34.7433558 32.033937, 34.7432217 32.0339825, 34.743168 32.0338688, 34.7433022 32.0338233))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
1,TZ1,medium,medium,1_to_3,לוי,עובד ציבור,3,"['POLYGON ((34.7433532 32.0330551, 34.7434255 32.0330491, 34.7434346 32.0331286, 34.7433622 32.0331346, 34.7433532 32.0330551))', 'POLYGON ((34.7434833 32.0337511, 34.7435566 32.0338978, 34.7434132 32.0339493, 34.7433399 32.0338026, 34.7434833 32.0337511))', 'POLYGON ((34.7434052 32.0342497, 34.7434875 32.0342178, 34.7435417 32.034318, 34.7434594 32.0343499, 34.7434052 32.0342497))']","[['POLYGON ((34.7433532 32.0330551, 34.7434255 32.0330491, 34.7434346 32.0331286, 34.7433622 32.0331346, 34.7433532 32.0330551))', 'unknown'], ['POLYGON ((34.7434833 32.0337511, 34.7435566 32.0338978, 34.7434132 32.0339493, 34.7433399 32.0338026, 34.7434833 32.0337511))', 'unknown'], ['POLYGON ((34.7434052 32.0342497, 34.7434875 32.0342178, 34.7435417 32.034318, 34.7434594 32.0343499, 34.7434052 32.0342497))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
2,TZ2,high,medium,3_to_6,מימון,חינוך,1,"['POLYGON ((34.7436006 32.0345769, 34.7436934 32.0347215, 34.7435568 32.0347845, 34.743464 32.0346399, 34.7436006 32.0345769))']","[['POLYGON ((34.7436006 32.0345769, 34.7436934 32.0347215, 34.7435568 32.0347845, 34.743464 32.0346399, 34.7436006 32.0345769))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
3,TZ3,high,low,1_to_3,לוי,הייטק,1,"['POLYGON ((34.7434714 32.0330113, 34.7435784 32.0329342, 34.7437138 32.0330692, 34.7436067 32.0331463, 34.7434714 32.0330113))']","[['POLYGON ((34.7434714 32.0330113, 34.7435784 32.0329342, 34.7437138 32.0330692, 34.7436067 32.0331463, 34.7434714 32.0330113))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
4,TZ4,medium,medium,10+,גרדה,נהג,1,"['POLYGON ((34.743529 32.0337556, 34.7436582 32.0336997, 34.7437372 32.0338311, 34.7436079 32.033887, 34.743529 32.0337556))']","[['POLYGON ((34.743529 32.0337556, 34.7436582 32.0336997, 34.7437372 32.0338311, 34.7436079 32.033887, 34.743529 32.0337556))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
5,TZ5,low,medium,3_to_6,סולומון,מלצר,2,"['POLYGON ((34.7436932 32.0340989, 34.7437561 32.0342211, 34.7436147 32.0342734, 34.7435518 32.0341512, 34.7436932 32.0340989))', 'POLYGON ((34.7437361 32.0347199, 34.7437849 32.0347912, 34.7436676 32.0348489, 34.7436452 32.0348599, 34.7435964 32.0347886, 34.7437361 32.0347199))']","[['POLYGON ((34.7436932 32.0340989, 34.7437561 32.0342211, 34.7436147 32.0342734, 34.7435518 32.0341512, 34.7436932 32.0340989))', 'unknown'], ['POLYGON ((34.7437361 32.0347199, 34.7437849 32.0347912, 34.7436676 32.0348489, 34.7436452 32.0348599, 34.7435964 32.0347886, 34.7437361 32.0347199))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
6,TZ6,low,medium,10+,גרדה,נהג,1,"['POLYGON ((34.7435774 32.0343728, 34.7436793 32.0343292, 34.743667 32.0343085, 34.7437529 32.0342717, 34.74381 32.0343677, 34.7436222 32.0344481, 34.7435774 32.0343728))']","[['POLYGON ((34.7435774 32.0343728, 34.7436793 32.0343292, 34.743667 32.0343085, 34.7437529 32.0342717, 34.74381 32.0343677, 34.7436222 32.0344481, 34.7435774 32.0343728))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 1}"
7,TZ7,high,high,3_to_6,כהן,מלצר,2,"['POLYGON ((34.7436636 32.0331393, 34.7437615 32.0330646, 34.7438243 32.0331237, 34.7437264 32.0331984, 34.7436636 32.0331393))', 'POLYGON ((34.7438008 32.0347983, 34.7438304 32.0348422, 34.7437065 32.0349022, 34.7436769 32.0348584, 34.7438008 32.0347983))']","[['POLYGON ((34.7436636 32.0331393, 34.7437615 32.0330646, 34.7438243 32.0331237, 34.7437264 32.0331984, 34.7436636 32.0331393))', 'unknown'], ['POLYGON ((34.7438008 32.0347983, 34.7438304 32.0348422, 34.7437065 32.0349022, 34.7436769 32.0348584, 34.7438008 32.0347983))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
8,TZ8,medium,medium,0_to_1,גרדה,עובד ציבור,3,"['POLYGON ((34.743832 32.0340301, 34.7439053 32.0341664, 34.7437752 32.0342168, 34.7437018 32.0340805, 34.743832 32.0340301))', 'POLYGON ((34.7437435 32.0328007, 34.7438209 32.0327516, 34.7438982 32.0328393, 34.7438209 32.0328884, 34.7437435 32.0328007))', 'POLYGON ((34.7437508 32.0337468, 34.7438614 32.0336916, 34.7439116 32.0337638, 34.743801 32.033819, 34.7437508 32.0337468))']","[['POLYGON ((34.743832 32.0340301, 34.7439053 32.0341664, 34.7437752 32.0342168, 34.7437018 32.0340805, 34.743832 32.0340301))', 'unknown'], ['POLYGON ((34.7437435 32.0328007, 34.7438209 32.0327516, 34.7438982 32.0328393, 34.7438209 32.0328884, 34.7437435 32.0328007))', 'unknown'], ['POLYGON ((34.7437508 32.0337468, 34.7438614 32.0336916, 34.7439116 32.0337638, 34.743801 32.033819, 34.7437508 32.0337468))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 3}"
9,TZ9,high,high,10+,כהן,מלצר,2,"['POLYGON ((34.7437524 32.0349824, 34.7439218 32.0348969, 34.7439668 32.0349608, 34.7437974 32.0350464, 34.7437524 32.0349824))', 'POLYGON ((34.7438896 32.0328558, 34.7439383 32.0329026, 34.7441056 32.0330635, 34.7440094 32.0331354, 34.7439827 32.0331097, 34.7439238 32.0331536, 34.7437853 32.0330203, 34.7437344 32.0330583, 34.7436117 32.0329402, 34.7436985 32.0328754, 34.7437383 32.0329136, 34.743791 32.0328743, 34.7438233 32.0329053, 34.7438896 32.0328558))']","[['POLYGON ((34.7437524 32.0349824, 34.7439218 32.0348969, 34.7439668 32.0349608, 34.7437974 32.0350464, 34.7437524 32.0349824))', 'unknown'], ['POLYGON ((34.7438896 32.0328558, 34.7439383 32.0329026, 34.7441056 32.0330635, 34.7440094 32.0331354, 34.7439827 32.0331097, 34.7439238 32.0331536, 34.7437853 32.0330203, 34.7437344 32.0330583, 34.7436117 32.0329402, 34.7436985 32.0328754, 34.7437383 32.0329136, 34.743791 32.0328743, 34.7438233 32.0329053, 34.7438896 32.0328558))', 'unknown']]","{'high': 0, 'medium': 0, 'low': 0, 'unknown': 2}"
